scenario_id,label,home_category,room_type,expected_passes_hard_spatial,api_passes_hard,n_violations,hard,soft,needs_input,rule_ids_fired
condo_living_room_conversation_circle,REPRESENTATIVE (not Design Manual §8),condo,living_room,True,False,2,1,0,1,"CMR_VALIDATION, MIN_WALKWAY"
mid_dining_room_service_perimeter,REPRESENTATIVE (not Design Manual §8),mid,dining_room,True,False,2,1,0,1,"CMR_VALIDATION, MIN_WALKWAY"
large_living_room_floating_anchor_violation,REPRESENTATIVE (not Design Manual §8),large,living_room,False,False,3,2,0,1,"CMR_VALIDATION, LR_FLOATING_ANCHOR, MIN_WALKWAY"
condo_bedroom_pinched_ensuite_path,REPRESENTATIVE (not Design Manual §8),condo,bedroom,True,False,3,2,0,1,"BR_ENSUITE_PATH, CMR_VALIDATION, MIN_WALKWAY"
