pair_id,image_sha256,swatch_sha256
artigiano_dining_chair,db4370ea2d236c5d674b5292f05d16e03a64fc19c7de6e0abbfed6e7e3cd3e5a,ae355e7e31a0f7a557959eb1f33bfc49279473cb67ef5aaaf8ed4ffeeef495fd
vela_arm_chair,82a699fd4281d53adace0006d67de76f9b1b478268ac49bf211984ae0b0f59c8,638eb99ccb2e452f155b81c5815526bd89be47c27ea13eeee876a5507ac3e7a2
forma_sofa,af3f1c2383021ed859a5c582c0e40ebce05ae823db15e409dbe00e5b95838bb9,06d1e7d4f43ca05ebcef758eeea944a9261a85bc23199e17f859b0bf04587a61
alice_chair,a2867a0459cecb576738877b759804d29f30f5ab0d76ea717330cee6ff30ee32,7bacfd50ee4090d4d4cbb54fe74119e83820004273d48eb3a8aa0df8f349d8c4
cielo_accent_chair,0a80e48be9c23342f76fed283955901fde9d1dabb7959fe351a1bf407086610e,ce2e2429e835f2d045d9a44e9f9b7133f4600d4011349b1894495c4664992cb8
abbraccio_armchair,32fad53e0807cc82cdb2cf8ef43a5f1e20fb51c622db57ecf84b7a50cdd665f3,639321bcb4d5b46d46539f3025f5421c05322fef96fe78c232d58d158cf6a9d1
poltrona_chair_studio,6fd555888d744f2746bc5dd2f935ef5628f978e717250142e48166f05468df59,3c44ce94cf2b349b72a5b31589a0685895778af9f8a138600046e2bc2488f871
mia_chair,2847c0ab08bf31963517840d3b6540d1ea8023543dddcffc41866f0e36aacce5,7d692beb18d6931d7e0129f5490b6ab60f099badbcfbe0654a7039f13b43ce12
